"","item_name","item_code","cal_100g","edible_p","Source"
"1","Maize ufa mgaiwa (normal flour)",101,364,100,"WB"
"2","Maize ufa refined (fine flour)",102,362,100,"WB"
"3","Maize ufa madeya (bran flour)",103,224,100,"WB"
"4","Maize grain (not as ufa)",104,345,100,"WB"
"5","Green maize",105,108,40,"WB"
"6","Rice",106,335,100,"WB"
"7","Finger millet",107,333,93,"WB"
"8","Sorghum",108,333,93,"WB"
"9","Pearl millet",109,333,93,"WB"
"10","Wheat flour",110,364,100,"WB"
"11","Bread",111,270,100,"WB"
"12","Buns, scones",112,238,100,"WB"
"13","Biscuits",113,365,100,"WB"
"14","Spaghetti, macaroni, pasta",114,370,100,"WB"
"15","Breakfast cereal",115,370,100,"WB"
"16","Infant feeding cereals",116,370,100,"WB"
"17","Other cereals",117,370,100,"WB"
"18","Cassava tubers",201,140,74,"WB"
"19","Cassava flour",202,344,100,"WB"
"20","White sweet potato",203,105,79,"WB"
"21","Orange sweet potato",204,105,79,"WB"
"22","Irish potato",205,79,75,"WB"
"23","Potato crisps",206,540,86,"WB"
"24","Plantain, cooking banana",207,92,65,"WB"
"25","Cocoyam (masimbi)",208,118,84,"WB"
"26","Other roots and tubers",209,110,76,"WB"
"27","Bean, white",301,320,100,"WB"
"28","Bean, brown",302,320,100,"WB"
"29","Pigeon pea (nandolo)",303,343,100,"WB"
"30","Groundnut flour",305,428,100,"WB"
"31","Soyabean flour",306,441,100,"WB"
"32","Ground bean",307,567,100,"WB"
"33","Cowpea (khobwe)",308,340,100,"WB"
"34","Macademia nuts",309,570,70,"WB"
"35","Other pulses",310,320,100,"WB"
"36","Groundnut (Shelled)",311,NA,100,"WFCT-06_010"
"37","Groundnut Dried (Unshelled)",312,NA,70,"AE"
"38","Groundnut Fresh (Unshelled)",313,NA,70,"AE"
"39","Onion",401,38,90,"WB"
"40","Cabbage",402,25,80,"WB"
"41","Tanaposi rape",403,22,80,"WB"
"42","Nkwani",404,19,41,"WB"
"43","Chinese cabbage",405,13,72,"WB"
"44","Other cultivated green leafy vegetable",406,36,72,"WB"
"45","Gathered wild green leaves",407,26,80,"WB"
"46","Tomato",408,21,91,"WB"
"47","Cucumber",409,13,97,"WB"
"48","Pumpkin",410,26,70,"WB"
"49","Okra / Therere",411,33,86,"WB"
"50","Tinned vegetables",412,36,100,"WB"
"51","Mushrooms",413,27,100,"WB"
"52","Other vegetable",414,36,80,"WB"
"53","Eggs",501,150,88,"WB"
"54","Beef",504,188,80,"WB"
"55","Goat",505,170,74,"WB"
"56","Pork",506,250,75,"WB"
"57","Mutton",507,269,85,"WB"
"58","Chicken",508,213,69,"WB"
"59","Other poultry-guinea fowl, doves",509,213,69,"WB"
"60","Small animal- rabbit, mice",510,390,69,"WB"
"61","Termites, other insect",511,188,80,"WB"
"62","Tinned meat or fish",512,208,100,"WB"
"63","Fish soup/sauce",514,NA,100,"AE"
"64","Other meat fish and animal product",515,210,80,"WB"
"65","Mango",601,58,64,"WB"
"66","Banana",602,92,64,"WB"
"67","Citrus, naartje, orange, etc.",603,44,75,"WB"
"68","Pineapple",604,48,67,"WB"
"69","Papaya",605,39,67,"WB"
"70","Guava",606,46,81,"WB"
"71","Avocado",607,161,74,"WB"
"72","Wild fruit (masau, mlambe, etc.)",608,58,94,"WB"
"73","Apple",609,60,92,"WB"
"74","Other fruits",610,53,75,"WB"
"75","Fresh milk",701,79,100,"WB"
"76","Powdered milk",702,495,100,"WB"
"77","Margarine",703,745,100,"WB"
"78","Butter",704,717,100,"WB"
"79","Chambiko - soured milk",705,208,100,"WB"
"80","Yoghurt",706,65,100,"WB"
"81","Cheese",707,390,100,"WB"
"82","Infant feeding formula",708,435,100,"WB"
"83","Other milk and milk products",709,390,100,"WB"
"84","Sugar",801,375,100,"WB"
"85","Sugar cane",802,400,40,"WB"
"86","Cooking oil",803,900,100,"WB"
"87","Other fats and oil",804,884,100,"WB"
"88","Salt",810,0,100,"WB"
"89","Spices",811,300,100,"WB"
"90","Yeast, baking powder, bicarbonate of so",812,105,100,"WB"
"91","Tomato sauce (bottle)",813,30,100,"WB"
"92","Hot sauce (nali, etc.)",814,255,100,"WB"
"93","Jam, jelly, honey",815,278,100,"WB"
"94","Sweets, candy, chocolates",816,375,100,"WB"
"95","Honey",817,304,100,"WB"
"96","Other spices/ miscellaneous",818,300,100,"WB"
"97","Maize - boiled or roasted",820,108,40,"WB"
"98","Chips (vendor)",821,540,100,"WB"
"99","Cassava - boiled (vendor)",822,320,100,"WB"
"100","Eggs - boiled (vendor)",823,150,88,"WB"
"101","Chicken (vendor)",824,213,69,"WB"
"102","Meat (vendor)",825,188,80,"WB"
"103","Fish (vendor)",826,230,100,"WB"
"104","Mandazi, doughnut (vendor)",827,400,100,"WB"
"105","Samosa (vendor)",828,170,100,"WB"
"106","Meat eaten at restaurant",829,188,80,"WB"
"107","Other cooked foods",830,201,90,"WB"
"108","Boiled Sweet potatoes",831,NA,100,"WFCT-02_012"
"109","Roasted sweet potatoes",832,NA,84,"KENFCT-2013"
"110","Boiled groundnuts",833,NA,70,"AE"
"111","Roasted groundnuts",834,NA,100,"AE"
"112","Popcorn",835,NA,100,"AE"
"113","Zikondamoyo/Nkate",836,NA,100,"AE"
"114","Kalongonda (Mucuna)",837,NA,80,"AE"
"115","Tea (leaves)",901,256,100,"WB"
"116","Coffee (powder)",902,328,100,"WB"
"117","Cocoa, milo",903,350,100,"WB"
"118","Squash (sobo drink concentrate)",904,162,100,"WB"
"119","Fruit juice",905,45,100,"WB"
"120","Freezes (flavoured ice)",906,45,100,"WB"
"121","Soft drinks (coca cola, fanta)",907,45,100,"WB"
"122","Chibuku/ Napolo",908,44,100,"WB"
"123","Bottled water",909,0,100,"WB"
"124","Maheu",910,44,100,"WB"
"125","Bottled/ canned beer",911,41,100,"WB"
"126","Local sweet beer (thobwa)",912,44,100,"WB"
"127","Traditional beer (masese)",913,44,100,"WB"
"128","Wine or commercial liquor",914,70,100,"WB"
"129","Locally brewed liquor",915,231,100,"WB"
"130","Other beverages",916,44,100,"WB"
"131","Sun Dried fish (Large Variety)",5021,NA,50,"KENFCT-8004"
"132","Sun Dried fish (Medium Variety)",5022,NA,100,"AE"
"133","Sun Dried fish (Small Variety)",5023,NA,100,"KENFCT-8002"
"134","Fresh fish (Large Variety)",5031,NA,45,"KENFCT-8024"
"135","Fresh fish (Medium Variety)",5032,NA,91,"KENFCT-8005"
"136","Fresh fish (Small Variety)",5033,NA,100,"AE"
"137","Smoked fish (Large Variety)",5121,NA,50,"KENFCT-8004"
"138","Smoked fish (Medium Variety)",5122,NA,100,"AE"
"139","Smoked fish (Small Variety)",5123,NA,100,"AE"
"140","Fresh fish",503,230,100,"WB"
"141","Dried fish",502,255,100,"WB"
"142","Groundnut",304,570,70,"WB"
"143","Chicken - Pieces",522,NA,65,"KENFCT-7009"
"144","Cassava - roasted (vendor)",838,NA,93,"KENFCT-2007"
"145","Maize ufa raw madeya (bran flour - unprocessed)",118,NA,100,"AE"
